CodeID,CPTCode,Description
17888,840,Anesthesia Intraperitoneal Lower Abd W Laps Nos
17889,811,Anesthesia Lower Intst Endoscopic Px Nos
17890,812,Anesthesia Lower Intst Endoscopic Px Scr Colsc
17891,630,Anesthesia Lumbar Region Nos
17892,160,Anesthesia Nose Accessory Sinuses Nos
17893,1214,Anesthesia Open Total Hip Arthroplasty
17894,914,Anesthesia Transurethral Resection Of Prostate
17895,732,Anesthesia Upper Gi Endoscopic Px Ercp
17896,731,Anesthesia Upper Gi Endoscopic Px Nos
17897,940,Anesthesia Vaginal Procedure W Biopsy Nos
17898,1844,Anesthesia Vascular Shunt Shunt Revision
17899,75733,Angio Adrenal Bilat Select
17900,75731,Angio Adrenal Unilat Select
17901,75630,Angio Aortobifemoral W Cath
17902,75625,Angio Aortogram Abd Serial
17903,75605,Angio Aortogram Thor Serial
17904,75774,Angio Ea Addnl Selectv Vessel
17905,75716,Angio Extermity Bilat
17906,75710,Angio Extremity Unilat
17907,75756,Angio Intern Mammary
17908,75736,Angio Pelvis
17909,75746,Angio Pulmon Bilat Nonselec
17910,75743,Angio Pulmon Bilat Select
17911,75741,Angio Pulmon Unilat Select
17912,75705,Angio Spinal Selectv
17913,75726,Angio Visceral Selectv Subselec
17914,75898,Angiogram F U Study Cath Ther Embol Inf
17915,81401,Apoe Cardiovascular Risk
17916,37799,Aquapheresis
17917,27278,Arthrd Si Jt Prq W Plmt Iartic Implt Wo Tfxj Dev
17918,22634,Arthrodesis Cmbn Tq 1Ntrspc Each Additional
17919,73615,Arthrogram Of Ankle
17920,73085,Arthrogram Of Elbow
17921,73525,Arthrogram Of Hip
17922,73580,Arthrogram Of Knee Joint
17923,73040,Arthrogram Of Shoulder
17924,73115,Arthrogram Of Wrist
17925,27130,Arthrp Acetblr Prox Fem Prostc Agrft Algrft Bilateral Procedure
17926,27447,Arthrp Kne Condyle Platu Medial Lat Compartments Bilateral Procedure
17927,29881,Arthrs Kne Surg W Meniscectomy Med Lat W Shvg Bilateral Procedure
17928,82172,Assay Of Apolipoprotein A 1 Or B
17929,93610,Atrial Pacing Study
17930,0625T,Auto Quan Charac Coronary Plaq Computerized Alys
17931,0624T,Auto Quan Charac Coronary Plaq Data Prep Trnsmis
17932,87800,Bacterial Vaginosis Vaginitis Pnl
17933,92986,Balloon Valvuloplasty Aortic
17934,81401,Bcl 1 Jh T 11 24 By Pcr Fluid
17935,81206,Bcr Abl1 Gene Major Bp
17936,81206,Bcr Abl1Gene Major Bp
17937,81207,Bcr Abl1Gene Minor Bp
17938,84600,Benzene
17939,82232,Beta 2 Micoglobulin
17940,82261,Biotinidase Serum
17941,51700,Bladder Irrigation Simple
17942,86902,Bld Product Antigen Screen
17943,78315,Bone Imaging 3 Phase
17944,78300,Bone Imaging Limited Area
17945,78306,Bone Imaging Whole Body
17946,20939,Bone Marrow Aspiration Bone Grfg Spi Surg Only
17947,78104,Bone Marrow Imaging Body
17948,78290,Bowel Imaging
17949,78605,Brain Imaging Complete
17950,78606,Brain Imaging Comp Flow
17951,78608,Brain Imaging Pet Metabolic
17952,78601,Brain Ltd Imaging Flow
17953,19325,Breast Augmentation With Implant Bilateral Procedure
17954,19364,Breast Reconstruction W Free Flap
17955,19364,Breast Reconstruction W Free Flap Bilateral Procedure
17956,19318,Breast Reduction Bilateral Procedure
17957,31624,Brnchsc W Brncl Alveolar Lavage Bilateral Procedure
17958,93600,Bundle Of His Recording
17959,38525,Bx Exc Lymph Node Open Deep Axillary Node Bilateral Procedure
17960,82330,Calcium Blood Free
17961,93312,Card Tee Echo Intraoperative
17962,93312,Card Tee Echo Pharmacologic
17963,78428,Cardiac Shunt Imaging
17964,92960,Cardioversion Elective External
17965,92961,Cardioversion Elective Internal
17966,82384,Catecholamine Plasma
17967,82379,"Carnitine (total and free), quantitative, each specimen "
17968,82382,"Catecholamines; total urine "
17969,82480,"Cholinesterase; serum "
17970,85302,"Clotting inhibitors or anticoagulants; protein C, antigen "
17971,85347,"Coagulation time; activated "
17972,81381,"HLA Class I typing, high resolution (ie, alleles or allele groups); one allele or allele group (eg, B*57:01P), each "
17973,83150,"Homovanillic acid (HVA) "
17974,81106,"Human Platelet Antigen 2 genotyping (HPA-2), GP1BA (glycoprotein Ib ºplatelet», alpha polypeptide ºGPIba») (eg, neonatal alloimmune thrombocytopenia ºNAIT», post-transfusion purpura), gene analysis, c "
17975,83505,"Hydroxyproline; total "
17976,86304,"Immunoassay for tumor antigen, quantitative; CA 125 "
17977,80204,"Methotrexate "
17978,83873,"Myelin basic protein, cerebrospinal fluid "
17979,89190,"Nasal smear for eosinophils "
17980,84145,"Procalcitonin (PCT) "
17981,84153,"Prostate specific antigen (PSA); total "
17982,85610,"Prothrombin time; "
17983,84207,"Pyridoxal phosphate (Vitamin B-6) "
17984,84630,"Zinc "
17985,80074,"Acute hepatitis panel This panel must include the following: Hepatitis A antibody (HAAb), IgM antibody (86709) Hepatitis B core antibody (HBcAb), IgM antibody (86705) Hepatitis B surface antigen (HBsA "
17986,89060,"Crystal identification by light microscopy with or without polarizing lens analysis, tissue or any body fluid (except urine) "
17987,86200,"Cyclic citrullinated peptide (CCP), antibody "
17988,82627,"Dehydroepiandrosterone-sulfate (DHEA-S) "
17989,81232,"DPYD (dihydropyrimidine dehydrogenase) (eg, 5-fluorouracil/5-FU and capecitabine drug metabolism), gene analysis, common variant(s) (eg, *2A, *4, *5, *6) "
17990,87498,"Infectious agent detection by nucleic acid (DNA or RNA); enterovirus, amplified probe technique, includes reverse transcription when performed "
17991,87517,"Infectious agent detection by nucleic acid (DNA or RNA); hepatitis B virus, quantification "
17992,87536,"Infectious agent detection by nucleic acid (DNA or RNA); HIV-1, quantification, includes reverse transcription when performed "
17993,82380,"Carotene "
17994,88267,"Chromosome analysis, amniotic fluid or chorionic villus, count 15 cells, 1 karyotype, with banding "
17995,85247,"Clotting; factor VIII, von Willebrand factor, multimetric analysis "
17996,86157,"Cold agglutinin; titer "
17997,82552,"Creatine kinase (CK), (CPK); isoenzymes "
17998,81107,"Human Platelet Antigen 3 genotyping (HPA-3), ITGA2B (integrin, alpha 2b ºplatelet glycoprotein IIb of IIb/IIIa complex», antigen CD41 ºGPIIb») (eg, neonatal alloimmune thrombocytopenia ºNAIT», post-tr "
17999,86334,"Immunofixation electrophoresis; serum "
18000,87328,"Infectious agent antigen detection by immunoassay technique (eg, enzyme immunoassay ºEIA», enzyme-linked immunosorbent assay ºELISA», fluorescence immunoassay ºFIA», immunochemiluminometric assay ºIMC "
18001,87340,"Infectious agent antigen detection by immunoassay technique (eg, enzyme immunoassay ºEIA», enzyme-linked immunosorbent assay ºELISA», fluorescence immunoassay ºFIA», immunochemiluminometric assay ºIMC "
18002,84144,"Progesterone "
18003,84155,"Protein, total, except by refractometry; serum, plasma or whole blood "
18004,85611,"Prothrombin time; substitution, plasma fractions, each "
18005,84210,"Pyruvate "
18006,84244,"Renin "
18007,87118,"Culture, mycobacterial, definitive identification, each isolate "
18008,80158,"Cyclosporine "
18009,86225,"Deoxyribonucleic acid (DNA) antibody; native or double stranded "
18010,87271,"Infectious agent antigen detection by immunofluorescent technique; Cytomegalovirus, direct fluorescent antibody (DFA) "
18011,87521,"Infectious agent detection by nucleic acid (DNA or RNA); hepatitis C, amplified probe technique, includes reverse transcription when performed "
18012,82390,"Ceruloplasmin "
18013,82436,"Chloride; urine "
18014,82495,"Chromium "
18015,85250,"Clotting; factor IX (PTC or Christmas) "
18016,85260,"Clotting; factor X (Stuart-Prower) "
18017,80053,"Comprehensive metabolic panel This panel must include the following: Albumin (82040) Bilirubin, total (82247) Calcium, total (82310) Carbon dioxide (bicarbonate) (82374) Chloride (82435) Creatinine (8 "
18018,82550,"Creatine kinase (CK), (CPK); total "
18019,86309,"Heterophile antibodies; titer "
18020,86817,"HLA typing; DR/DQ, multiple antigens "
18021,81110,"Human Platelet Antigen 6 genotyping (HPA-6w), ITGB3 (integrin, beta 3 ºplatelet glycoprotein IIIa, antigen CD61» ºGPIIIa») (eg, neonatal alloimmune thrombocytopenia ºNAIT», post-transfusion purpura), "
18022,87380,"Infectious agent antigen detection by immunoassay technique (eg, enzyme immunoassay ºEIA», enzyme-linked immunosorbent assay ºELISA», fluorescence immunoassay ºFIA», immunochemiluminometric assay ºIMC "
18023,81400,"Molecular pathology procedure, Level 1 (eg, identification of single germline variant ºeg, SNP» by techniques such as restriction enzyme digestion or melt curve analysis) ACADM (acyl-CoA dehydrogenase "
18024,85549,"Muramidase "
18025,84165,"Protein; electrophoretic fractionation and quantitation, serum "
18026,84235,"Receptor assay; endocrine, other than estrogen or progesterone (specify hormone) "
18027,87040,"Culture, bacterial; blood, aerobic, with isolation and presumptive identification of isolates (includes anaerobic culture, if appropriate) "
18028,87103,"Culture, fungi (mold or yeast) isolation, with presumptive identification of isolates; blood "
18029,81228,"Cytogenomic (genome-wide) analysis for constitutional chromosomal abnormalities; interrogation of genomic regions for copy number variants, comparative genomic hybridization ºCGH» microarray analysis "
18030,87280,"Infectious agent antigen detection by immunofluorescent technique; respiratory syncytial virus "
18031,87496,"Infectious agent detection by nucleic acid (DNA or RNA); cytomegalovirus, amplified probe technique "
18032,87556,"Infectious agent detection by nucleic acid (DNA or RNA); Mycobacteria tuberculosis, amplified probe technique "
18033,84255,"Selenium "
18034,84260,"Serotonin "
18035,84270,"Sex hormone binding globulin (SHBG) "
18036,84302,"Sodium; other source "
18037,82104,"Alpha-1-antitrypsin; phenotype "
18038,86638,"Antibody; Coxiella burnetii (Q fever) "
18039,86778,"Antibody; Toxoplasma, IgM "
18040,86794,"Antibody; Zika virus, IgM "
18041,85420,"Fibrinolytic factors and inhibitors; plasminogen, except antigenic assay "
18042,82941,"Gastrin "
18043,83935,"Osmolality; urine "
18044,80183,"Oxcarbazepine "
18045,89320,"Semen analysis; volume, count, motility, and differential "
18046,80195,"Sirolimus "
18047,84315,"Specific gravity (except urine) "
18048,80150,"Amikacin "
18049,86609,"Antibody; bacterium, not elsewhere specified "
18050,86720,"Antibody; Leptospira "
18051,86886,"Antihuman globulin test (Coombs test); indirect, each antibody titer "
18052,82677,"Estriol "
18053,82731,"Fetal fibronectin, cervicovaginal secretions, semi-quantitative "
18054,85378,"Fibrin degradation products, D-dimer; qualitative or semiquantitative "
18055,82800,"Gases, blood, pH only "
18056,83527,"Insulin; free "
18057,82009,"Ketone body(s) (eg, acetone, acetoacetic acid, beta-hydroxybutyrate); qualitative "
18058,86361,"T cells; absolute CD4 count "
18059,80198,"Theophylline "
18060,86800,"Thyroglobulin antibody "
18061,88233,"Tissue culture for non-neoplastic disorders; skin or other solid tissue biopsy "
18062,80201,"Topiramate "
18063,82239,"Bile acids; total "
18064,85008,"Blood count; blood smear, microscopic examination without manual differential WBC count "
18065,85049,"Blood count; platelet, automated "
18066,86140,"C-reactive protein; "
18067,82310,"Calcium; total "
18068,82985,"Glycated protein "
18069,83002,"Gonadotropin; luteinizing hormone (LH) "
18070,83003,"Growth hormone, human (HGH) (somatotropin) "
18071,83010,"Haptoglobin; quantitative "
18072,81362,"HBB (hemoglobin, subunit beta) (eg, sickle cell anemia, beta thalassemia, hemoglobinopathy); known familial variant(s) "
18073,86941,"Hemolysins and agglutinins; incubated "
18074,80076,"Hepatic function panel This panel must include the following: Albumin (82040) Bilirubin, total (82247) Bilirubin, direct (82248) Phosphatase, alkaline (84075) Protein, total (84155) Transferase, alani "
18075,80177,"Levetiracetam "
18076,80061,"Lipid panel This panel must include the following: Cholesterol, serum, total (82465) Lipoprotein, direct measurement, high density cholesterol (HDL cholesterol) (83718) Triglycerides (84478) "
18077,84060,"Phosphatase, acid; total "
18078,85597,"Phospholipid neutralization; platelet "
18079,84110,"Porphobilinogen, urine; quantitative "
18080,84484,"Troponin, quantitative "
18081,80165,"Valproic acid (dipropylacetic acid); free "
18082,84597,"Vitamin K "
18083,84377,"Sugars (mono-, di-, and oligosaccharides); multiple qualitative, each specimen "
18084,84402,"Testosterone; free "
18085,85730,"Thromboplastin time, partial (PTT); plasma or whole blood "
18086,84445,"Thyroid stimulating immune globulins (TSI) "
18087,81175,"ASXL1 (additional sex combs like 1, transcriptional regulator) (eg, myelodysplastic syndrome, myeloproliferative neoplasms, chronic myelomonocytic leukemia), gene analysis; full gene sequence "
18088,85044,"Blood count; reticulocyte, manual "
18089,82274,"Blood, occult, by fecal hemoglobin determination by immunoassay, qualitative, feces, 1-3 simultaneous determinations "
18090,82375,"Carboxyhemoglobin; quantitative "
18091,82963,"Glucosidase, beta "
18092,83018,"Heavy metal (eg, arsenic, barium, beryllium, bismuth, antimony, mercury); quantitative, each, not elsewhere specified "
18093,83021,"Hemoglobin fractionation and quantitation; chromatography (eg, A2, S, C, and/or F) "
18094,89055,"Leukocyte assessment, fecal, qualitative or semiquantitative "
18095,84030,"Phenylalanine (PKU), blood "
18096,84080,"Phosphatase, alkaline; isoenzymes "
18097,84482,"Triiodothyronine T3; reverse "
18098,84550,"Uric acid; blood "
18099,82384,"Catecholamines; fractionated "
18100,81220,"CFTR (cystic fibrosis transmembrane conductance regulator) (eg, cystic fibrosis) gene analysis; common variants (eg, ACMG/ACOG guidelines) "
18101,82482,"Cholinesterase; RBC "
18102,85303,"Clotting inhibitors or anticoagulants; protein C, activity "
18103,85240,"Clotting; factor VIII (AHG), 1-stage "
18104,85290,"Clotting; factor XIII (fibrin stabilizing) "
18105,86162,"Complement; total hemolytic (CH50) "
18106,81256,"HFE (hemochromatosis) (eg, hereditary hemochromatosis) gene analysis, common variants (eg, C282Y, H63D) "
18107,81112,"Human Platelet Antigen 15 genotyping (HPA-15), CD109 (CD109 molecule) (eg, neonatal alloimmune thrombocytopenia ºNAIT», post-transfusion purpura), gene analysis, common variant, HPA-15a/b (S682Y) "
18108,81121,"IDH2 (isocitrate dehydrogenase 2 ºNADP+», mitochondrial) (eg, glioma), common variants (eg, R140W, R172M) "
18109,87338,"Infectious agent antigen detection by immunoassay technique (eg, enzyme immunoassay ºEIA», enzyme-linked immunosorbent assay ºELISA», fluorescence immunoassay ºFIA», immunochemiluminometric assay ºIMC "
18110,80192,"Procainamide; with metabolites (eg, n-acetyl procainamide) "
18111,84154,"Prostate specific antigen (PSA); free "
18112,80194,"Quinidine "
18113,84234,"Receptor assay; progesterone "
18114,80069,"Renal function panel This panel must include the following: Albumin (82040) Calcium, total (82310) Carbon dioxide (bicarbonate) (82374) Chloride (82435) Creatinine (82565) Glucose (82947) Phosphorus i "
18115,87107,"Culture, fungi, definitive identification, each organism; mold "
18116,82610,"Cystatin C "
18117,82626,"Dehydroepiandrosterone (DHEA) "
18118,85130,"Chromogenic substrate assay "
18119,85300,"Clotting inhibitors or anticoagulants; antithrombin III, activity "
18120,85220,"Clotting; factor V (AcG or proaccelerin), labile factor "
18121,85270,"Clotting; factor XI (PTA) "
18122,82565,"Creatinine; blood "
18123,81111,"Human Platelet Antigen 9 genotyping (HPA-9w), ITGA2B (integrin, alpha 2b ºplatelet glycoprotein IIb of IIb/IIIa complex, antigen CD41» ºGPIIb») (eg, neonatal alloimmune thrombocytopenia ºNAIT», post-t "
18124,83497,"Hydroxyindolacetic acid, 5-(HIAA) "
18125,86332,"Immune complex assay "
18126,87305,"Infectious agent antigen detection by immunoassay technique (eg, enzyme immunoassay ºEIA», enzyme-linked immunosorbent assay ºELISA», fluorescence immunoassay ºFIA», immunochemiluminometric assay ºIMC "
18127,87427,"Infectious agent antigen detection by immunoassay technique (eg, enzyme immunoassay ºEIA», enzyme-linked immunosorbent assay ºELISA», fluorescence immunoassay ºFIA», immunochemiluminometric assay ºIMC "
18128,87806,"Infectious agent antigen detection by immunoassay with direct optical (ie, visual) observation; HIV-1 antigen(s), with HIV-1 and HIV-2 antibodies "
18129,81291,"MTHFR (5,10-methylenetetrahydrofolate reductase) (eg, hereditary hypercoagulability) gene analysis, common variants (eg, 677T, 1298C) "
18130,84233,"Receptor assay; estrogen "
18131,87086,"Culture, bacterial; quantitative colony count, urine "
18132,87116,"Culture, tubercle or other acid-fast bacilli (eg, TB, AFB, mycobacteria) any source, with isolation and presumptive identification of isolates "
18133,82600,"Cyanide "
18134,81230,"CYP3A4 (cytochrome P450 family 3 subfamily A member 4) (eg, drug metabolism), gene analysis, common variant(s) (eg, *2, *22) "
18135,82656,"Elastase, pancreatic (EL-1), fecal; qualitative or semi-quantitative "
18136,87624,"Infectious agent detection by nucleic acid (DNA or RNA); Human Papillomavirus (HPV), high-risk types (eg, 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 68) "
18137,82383,"Catecholamines; blood "
18138,82465,"Cholesterol, serum or whole blood, total "
18139,82507,"Citrate "
18140,85301,"Clotting inhibitors or anticoagulants; antithrombin III, antigen assay "
18141,85230,"Clotting; factor VII (proconvertin, stable factor) "
18142,85280,"Clotting; factor XII (Hageman) "
18143,85397,"Coagulation and fibrinolysis, functional activity, not otherwise specified (eg, ADAMTS-13), each analyte "
18144,82575,"Creatinine; clearance "
18145,81105,"Human Platelet Antigen 1 genotyping (HPA-1), ITGB3 (integrin, beta 3 ºplatelet glycoprotein IIIa», antigen CD61 ºGPIIIa») (eg, neonatal alloimmune thrombocytopenia ºNAIT», post-transfusion purpura), g "
18146,83498,"Hydroxyprogesterone, 17-d "
18147,81120,"IDH1 (isocitrate dehydrogenase 1 ºNADP+», soluble) (eg, glioma), common variants (eg, R132H, R132C) "
18148,86316,"Immunoassay for tumor antigen, other antigen, quantitative (eg, CA 50, 72-4, 549), each "
18149,80190,"Procainamide; "
18150,84182,"Protein; Western Blot, with interpretation and report, blood or other body fluid, immunological probe for band identification, each "
18151,84238,"Receptor assay; non-endocrine (specify receptor) "
18152,86430,"Rheumatoid factor; qualitative "
18153,82013,"Acetylcholinesterase "
18154,82017,"Acylcarnitines; quantitative, each specimen "
18155,87101,"Culture, fungi (mold or yeast) isolation, with presumptive identification of isolates; skin, hair, or nail "
18156,82607,"Cyanocobalamin (Vitamin B-12); "
18157,81231,"CYP3A5 (cytochrome P450 family 3 subfamily A member 5) (eg, drug metabolism), gene analysis, common variants (eg, *2, *3, *4, *5, *6, *7) "
18158,87476,"Infectious agent detection by nucleic acid (DNA or RNA); Borrelia burgdorferi, amplified probe technique "
18159,87535,"Infectious agent detection by nucleic acid (DNA or RNA); HIV-1, amplified probe technique, includes reverse transcription when performed "
18160,77063,"Screening digital breast tomosynthesis, bilateral (List separately in addition to code for primary procedure) "
18161,82135,"Aminolevulinic acid, delta (ALA) "
18162,86628,"Antibody; Candida "
18163,86648,"Antibody; Diphtheria "
18164,86664,"Antibody; Epstein-Barr (EB) virus, nuclear antigen (EBNA) "
18165,86692,"Antibody; hepatitis, delta agent "
18166,86885,"Antihuman globulin test (Coombs test); indirect, qualitative, each reagent red cell "
18167,85379,"Fibrin degradation products, D-dimer; quantitative "
18168,82785,"Gammaglobulin (immunoglobulin); IgE "
18169,83550,"Iron binding capacity "
18170,87662,"Infectious agent detection by nucleic acid (DNA or RNA); Zika virus, amplified probe technique "
18171,87209,"Smear, primary source with interpretation; complex special stain (eg, trichrome, iron hemotoxylin) for ova and parasites "
18172,82040,"Albumin; serum, plasma or whole blood "
18173,80151,"Amiodarone "
18174,86694,"Antibody; herpes simplex, non-specific type test "
18175,86687,"Antibody; HTLV-I "
18176,86727,"Antibody; lymphocytic choriomeningitis "
18177,82672,"Estrogens; total "
18178,81240,"F2 (prothrombin, coagulation factor II) (eg, hereditary hypercoagulability) gene analysis, 20210G>A variant "
18179,85335,"Factor inhibitor test "
18180,82725,"Fatty acids, nonesterified "
18181,82728,"Ferritin "
18182,86592,"Syphilis test, non-treponemal antibody; qualitative (eg, VDRL, RPR, ART) "
18183,84403,"Testosterone; total "
18184,84437,"Thyroxine; requiring elution (eg, neonatal) "
18185,81176,"ASXL1 (additional sex combs like 1, transcriptional regulator) (eg, myelodysplastic syndrome, myeloproliferative neoplasms, chronic myelomonocytic leukemia), gene analysis; targeted sequence analysis "
18186,85018,"Blood count; hemoglobin (Hgb) "
18187,86902,"Blood typing, serologic; antigen testing of donor blood using reagent serum, each antigen test "
18188,82272,"Blood, occult, by peroxidase activity (eg, guaiac), qualitative, feces, 1-3 simultaneous determinations, performed for other than colorectal neoplasm screening "
18189,82360,"Calculus; quantitative analysis, chemical "
18190,82378,"Carcinoembryonic antigen (CEA) "
18191,82955,"Glucose-6-phosphate dehydrogenase (G6PD); quantitative "
18192,83020,"Hemoglobin fractionation and quantitation; electrophoresis (eg, A2, S, C, and/or F) "
18193,80178,"Lithium "
18194,84081,"Phosphatidylglycerol "
18195,84560,"Uric acid; other source "
18196,84585,"Vanillylmandelic acid (VMA), urine "
18197,84586,"Vasoactive intestinal peptide (VIP) "
18198,84590,"Vitamin A "
18199,84436,"Thyroxine; total "
18200,84460,"Transferase; alanine amino (ALT) (SGPT) "
18201,80048,"Basic metabolic panel (Calcium, total) This panel must include the following: Calcium, total (82310) Carbon dioxide (bicarbonate) (82374) Chloride (82435) Creatinine (82565) Glucose (82947) Potassium "
18202,82248,"Bilirubin; direct "
18203,85013,"Blood count; spun microhematocrit "
18204,86905,"Blood typing, serologic; RBC antigens, other than ABO or Rh (D), each "
18205,82270,"Blood, occult, by peroxidase activity (eg, guaiac), qualitative; feces, consecutive collected specimens with single determination, for colorectal neoplasm screening (ie, patient was provided 3 cards o "
18206,82943,"Glucagon "
18207,82977,"Glutamyltransferase, gamma (GGT) "
18208,84703,"Gonadotropin, chorionic (hCG); qualitative "
18209,81361,"HBB (hemoglobin, subunit beta) (eg, sickle cell anemia, beta thalassemia, hemoglobinopathy); common variant(s) (eg, HbS, HbC, HbE) "
18210,85460,"Hemoglobin or RBCs, fetal, for fetomaternal hemorrhage; differential lysis (Kleihauer-Betke) "
18211,83036,"Hemoglobin; glycosylated (A1C) "
18212,85520,"Heparin assay "
18213,80186,"Phenytoin; free "
18214,84588,"Vasopressin (antidiuretic hormone, ADH) "
18215,29581,"Application of multi-layer compression system; leg (below knee), including ankle and foot "
18216,82043,"Albumin; urine (eg, microalbumin), quantitative "
18217,82140,"Ammonia "
18218,86688,"Antibody; HTLV-II "
18219,86756,"Antibody; respiratory syncytial virus "
18220,82668,"Erythropoietin "
18221,82679,"Estrone "
18222,85360,"Euglobulin lysis "
18223,81241,"F5 (coagulation factor V) (eg, hereditary hypercoagulability) gene analysis, Leiden variant "
18224,85362,"Fibrin(ogen) degradation (split) products (FDP) (FSP); agglutination slide, semiquantitative "
18225,85415,"Fibrinolytic factors and inhibitors; plasminogen activator "
18226,82435,"Chloride; blood "
18227,85305,"Clotting inhibitors or anticoagulants; protein S, total "
18228,85246,"Clotting; factor VIII, VW factor antigen "
18229,86812,"HLA typing; A, B, or C (eg, A10, B7, B27), single antigen "
18230,81108,"Human Platelet Antigen 4 genotyping (HPA-4), ITGB3 (integrin, beta 3 ºplatelet glycoprotein IIIa», antigen CD61 ºGPIIIa») (eg, neonatal alloimmune thrombocytopenia ºNAIT», post-transfusion purpura), g "
18231,86301,"Immunoassay for tumor antigen, quantitative; CA 19-9 "
18232,87329,"Infectious agent antigen detection by immunoassay technique (eg, enzyme immunoassay ºEIA», enzyme-linked immunosorbent assay ºELISA», fluorescence immunoassay ºFIA», immunochemiluminometric assay ºIMC "
18233,87809,"Infectious agent antigen detection by immunoassay with direct optical (ie, visual) observation; adenovirus "
18234,80188,"Primidone "
18235,84206,"Proinsulin "
18236,84156,"Protein, total, except by refractometry; urine "
18237,84202,"Protoporphyrin, RBC; quantitative "
18238,82024,"Adrenocorticotropic hormone (ACTH) "
18239,87109,"Culture, mycoplasma, any source "
18240,88142,"Cytopathology, cervical or vaginal (any reporting system), collected in preservative fluid, automated thin layer preparation; manual screening under physician supervision "
18241,87901,"Infectious agent genotype analysis by nucleic acid (DNA or RNA); HIV-1, reverse transcriptase and protease regions "
18242,84446,"Tocopherol alpha (Vitamin E) "
18243,81335,"TPMT (thiopurine S-methyltransferase) (eg, drug metabolism), gene analysis, common variants (eg, *2, *3) "
18244,84450,"Transferase; aspartate amino (AST) (SGOT) "
18245,82180,"Ascorbic acid (Vitamin C), blood "
18246,82271,"Blood, occult, by peroxidase activity (eg, guaiac), qualitative; other sources "
18247,83993,"Calprotectin, fecal "
18248,80156,"Carbamazepine; total "
18249,85475,"Hemolysin, acid "
18250,83718,"Lipoprotein, direct measurement; high density cholesterol (HDL cholesterol) "
18251,84134,"Prealbumin "
18252,84520,"Urea nitrogen; quantitative "
18253,81025,"Urine pregnancy test, by visual color comparison methods "
18254,82652,"Vitamin D; 1, 25 dihydroxy, includes fraction(s), if performed "
18255,83918,"Organic acids; total, quantitative, each specimen "
18256,82103,"Alpha-1-antitrypsin; total "
18257,82164,"Angiotensin I - converting enzyme (ACE) "
18258,86603,"Antibody; adenovirus "
18259,86641,"Antibody; Cryptococcus "
18260,86684,"Antibody; Haemophilus influenza "
18261,86063,"Antistreptolysin 0; screen "
18262,80168,"Ethosuximide "
18263,85384,"Fibrinogen; activity "
18264,82747,"Folic acid; RBC "
18265,83625,"Lactate dehydrogenase (LD), (LDH); isoenzymes, separation and quantitation "
18266,85557,"Osmotic fragility, RBC; incubated "
18267,80349,"Cannabinoids, natural "
18268,84425,"Thiamine (Vitamin B-1) "
18269,84479,"Thyroid hormone (T3 or T4) uptake or thyroid hormone binding ratio (THBR) "
18270,81206,"BCR/ABL1 (t(9;22)) (eg, chronic myelogenous leukemia) translocation analysis; major breakpoint, qualitative or quantitative "
18271,85027,"Blood count; complete (CBC), automated (Hgb, Hct, RBC, WBC and platelet count) "
18272,86141,"C-reactive protein; high sensitivity (hsCRP) "
18273,82374,"Carbon dioxide (bicarbonate) "
18274,82951,"Glucose; tolerance test (GTT), 3 specimens (includes glucose) "
18275,81257,"HBA1/HBA2 (alpha globin 1 and alpha globin 2) (eg, alpha thalassemia, Hb Bart hydrops fetalis syndrome, HbH disease), gene analysis; common deletions or variant (eg, Southeast Asian, Thai, Filipino, M "
18276,83051,"Hemoglobin; plasma "
18277,83070,"Hemosiderin, qualitative "
18278,83670,"Leucine aminopeptidase (LAP) "
18279,80176,"Lidocaine "
18280,80184,"Phenobarbital "
18281,84075,"Phosphatase, alkaline; "
18282,84100,"Phosphorus inorganic (phosphate); "
18283,87172,"Pinworm exam (eg, cellophane tape prep) "
18284,84478,"Triglycerides "
18285,86480,"Tuberculosis test, cell mediated immunity antigen response measurement; gamma interferon "
18286,84580,"Urobilinogen, urine; quantitative, timed specimen "
18287,83916,"Oligoclonal immune (oligoclonal bands) "
18288,84252,"Riboflavin (Vitamin B-2) "
18289,85613,"Russell viper venom time (includes venom); diluted "
18290,80179,"Salicylate "
18291,82085,"Aldolase "
18292,82108,"Aluminum "
18293,82128,"Amino acids; multiple, qualitative, each specimen "
18294,86652,"Antibody; encephalitis, Eastern equine "
18295,86777,"Antibody; Toxoplasma "
18296,86038,"Antinuclear antibodies (ANA); "
18297,83661,"Fetal lung maturity assessment; lecithin sphingomyelin (L/S) ratio "
18298,80171,"Gabapentin, whole blood, serum, or plasma "
18299,86337,"Insulin antibodies "
18300,83930,"Osmolality; blood "
18301,83945,"Oxalate "
18302,86360,"T cells; absolute CD4 and CD8 count, including ratio "
18303,85245,"Clotting; factor VIII, VW factor, ristocetin cofactor "
18304,86308,"Heterophile antibodies; screening "
18305,83088,"Histamine "
18306,86813,"HLA typing; A, B, or C, multiple antigens "
18307,81109,"Human Platelet Antigen 5 genotyping (HPA-5), ITGA2 (integrin, alpha 2 ºCD49B, alpha 2 subunit of VLA-2 receptor» ºGPIa») (eg, neonatal alloimmune thrombocytopenia ºNAIT», post-transfusion purpura), ge "
18308,86331,"Immunodiffusion; gel diffusion, qualitative (Ouchterlony), each antigen or antibody "
